1|4) Qu' ose -je donc proposer? 
1	Qu'	que	PRO	PROWH	s=int	2	suj	_	_
23	,	,	PONCT	PONCT	s=w	2	ponct	_	_
24	le	le	D	DET	g=m|n=s|s=def	25	det	_	_
25	Conseil	conseil	N	NPP	g=m|n=s|s=p	2	mod	_	_
26	National	national	A	ADJ	g=m|n=s|s=qual	25	mod	_	_
27	de	de	P	P	_	25	dep	_	_
28	l'	le	D	DET	n=s|s=def	29	det	_	_
29	Enseignement	enseignement	N	NC	g=m|n=s|s=c	27	obj	_	_
30	Supérieur	Supérieur	N	NPP	s=p	29	mod	_	_
31	et	et	C	CC	s=c	27	coord	_	_
32	de	de	P	P	_	31	dep_coord	_	_
33	la	le	D	DET	g=f|n=s|s=def	34	det	_	_
34	Recherche	recherche	N	NC	g=f|n=s|s=c	32	obj	_	_
35	[	[	PONCT	PONCT	s=w	34	ponct	_	_
36	CNESER	CNESER	N	NPP	s=p	34	mod	_	_
37	]	]	PONCT	PONCT	s=w	34	ponct	_	_
38	,	,	PONCT	PONCT	s=w	2	ponct	_	_
39	la	le	D	DET	g=f|n=s|s=def	40	det	_	_
40	Conférence	conférence	N	NC	g=f|n=s|s=c	2	mod	_	_
41	des	de	P+D	P+D	s=def	40	dep	_	_
42	Directeurs	directeur	N	NC	g=m|n=p|s=c	41	obj	_	_
43	des	de	P+D	P+D	s=def	42	dep	_	_
44	Ecoles	école	N	NC	g=f|n=p|s=c	43	obj	_	_
45	Françaises	français	N	NC	g=f|n=p|s=c	44	mod	_	_
46	d'	de	P	P	_	45	dep	_	_
47	Ingénieurs	Ingénieurs	N	NPP	s=p	46	obj	_	_
48	[	[	PONCT	PONCT	s=w	47	ponct	_	_
49	CDEFI	CDEFI	N	NPP	s=p	47	mod	_	_
50	]	]	PONCT	PONCT	s=w	47	ponct	_	_
51	,	,	PONCT	PONCT	s=w	2	ponct	_	_
52	la	le	D	DET	g=f|n=s|s=def	53	det	_	_
53	Conférence	conférence	N	NC	g=f|n=s|s=c	2	ats	_	_
54	des	de	P+D	P+D	s=def	53	dep	_	_
55	Grandes	grand	N	NC	g=f|n=p|s=c	54	obj	_	_
56	Ecoles	école	N	NC	g=f|n=p|s=c	55	mod	_	_
57	[	[	PONCT	PONCT	s=w	55	ponct	_	_
58	CGE	CGE	N	NPP	s=p	55	mod	_	_
59	]	]	PONCT	PONCT	s=w	2	ponct	_	_
60	,	,	PONCT	PONCT	s=w	2	ponct	_	_
61	et	et	C	CC	s=c	2	coord	_	_
62	le	le	D	DET	g=m|n=s|s=def	63	det	_	_
63	Conseil	conseil	N	NPP	g=m|n=s|s=p	0	root	_	_
64	National	national	A	ADJ	g=m|n=s|s=qual	63	mod	_	_
65	des	de	P+D	P+D	s=def	63	dep	_	_
66	Ingénieurs	ingénieur	N	NC	g=m|n=p|s=c	65	obj	_	_
67	et	et	C	CC	s=c	66	coord	_	_
68	Scientifiques	scientifique	N	NC	n=p|s=c	67	dep_coord	_	_
69	de	de	P	P	_	68	dep	_	_
70	France	France	N	NPP	g=m|n=s|s=p	69	obj	_	_
71	[	[	PONCT	PONCT	s=w	70	ponct	_	_
72	CNISF	CNISF	N	NPP	s=p	70	mod	_	_
73	]	]	PONCT	PONCT	s=w	63	ponct	_	_
74	.	.	PONCT	PONCT	s=s	63	ponct	_	_

6|23) Et c' est donc pour accroitre leur visibilité à_l'_étranger, que les écoles ont commencé un processus de regroupement( exemple de Paris-tech, du PRES de Toulouse... 
1	Et	et	C	CC	s=c	0	root	_	_
2	c'	cln	CL	CLS	s=suj	3	suj	_	_
3	est	être	V	V	m=ind|n=s|p=3|t=pst	1	dep_coord	_	_
4	donc	donc	ADV	ADV	_|marker=131	3	mod	_	_
5	pour	pour	P	P	_	3	mod	_	_
6	accroitre	accroitre	V	VINF	m=inf	5	obj	_	_
7	leur	son	D	DET	n=s|s=poss	8	det	_	_
8	visibilité	visibilité	N	NC	g=f|n=s|s=c	6	obj	_	_
9	à_l'_étranger	à_l'étranger	ADV	ADV	_	8	mod	_	_
10	,	,	PONCT	PONCT	s=w	3	ponct	_	_
11	que	que	C	CS	s=s	3	mod	_	_
12	les	le	D	DET	n=p|s=def	13	det	_	_
13	écoles	école	N	NC	g=f|n=p|s=c	15	suj	_	_
14	ont	avoir	V	V	m=ind|n=p|p=3|t=pst	15	aux_tps	_	_
15	commencé	commencer	V	VPP	g=m|m=part|n=s|t=past	11	obj	_	_
16	un	un	D	DET	g=m|n=s|s=ind	17	det	_	_
17	processus	processus	N	NC	g=m|s=c	15	obj	_	_
18	de	de	P	P	_	17	dep	_	_
19	regroupement	regroupement	N	NC	g=m|n=s|s=c	18	obj	_	_
20	(	(	PONCT	PONCT	s=w	17	ponct	_	_
21	exemple	exemple	N	NC	g=m|n=s|s=c	17	mod	_	_
22	de	de	P	P	_	21	dep	_	_
23	Paris-tech	Paris-tech	N	NPP	s=p	22	obj	_	_
24	,	,	PONCT	PONCT	s=w	15	ponct	_	_
25	du	de	P+D	P+D	s=def	15	mod	_	_
26	PRES	PRES	N	NC	s=c	25	obj	_	_
27	de	de	P	P	_	26	dep	_	_
28	Toulouse	Toulouse	N	NPP	g=m|n=s|s=p	27	obj	_	_
29	...	...	PONCT	PONCT	s=s	1	ponct	_	_

7|29) ) Parmi ces 269 votes, nous avons eu: 250 Open' Up/ / 16 blancs/ / 3 nuls La liste Open' Up est donc élue avec 92.9 % des voix. 
1	)	)	PONCT	PONCT	s=w	9	ponct	_	_
2	Parmi	parmi	P	P	_	9	mod	_	_
3	ces	ce	D	DET	n=p|s=dem	5	det	_	_
4	269	269	A	ADJ	s=card	5	mod	_	_
5	votes	vote	N	NC	g=m|n=p|s=c	2	obj	_	_
6	,	,	PONCT	PONCT	s=w	9	ponct	_	_
7	nous	cln	CL	CLS	s=suj	9	suj	_	_
8	avons	avoir	V	V	m=ind|n=p|p=1|t=pst	9	aux_tps	_	_
9	eu	avoir	V	VPP	g=m|m=part|n=s|t=past	0	root	_	_
10	:	:	PONCT	PONCT	s=w	9	ponct	_	_
11	250	250	D	DET	s=card	12	det	_	_
12	Open	open	N	NC	g=m|n=s|s=c	9	obj	_	_
13	'	'	PONCT	PONCT	s=w	12	ponct	_	_
14	Up	Up	N	NPP	s=p	12	mod	_	_
15	/	/	PONCT	PONCT	s=w	12	ponct	_	_
16	/	/	P	P	_	12	dep	_	_
17	16	16	D	DET	s=card	18	det	_	_
18	blancs	blanc	A	ADJ	g=m|n=p|s=qual	16	obj	_	_
19	/	/	PONCT	PONCT	s=w	9	ponct	_	_
20	/	/	P	P	_	9	mod	_	_
21	3	3	D	DET	s=card	22	det	_	_
22	nuls	nul	N	NC	g=m|n=p|s=neg	20	obj	_	_
23	La	le	D	DET	g=f|n=s|s=def	24	det	_	_
24	liste	liste	N	NC	g=f|n=s|s=c	9	obj	_	_
25	Open	Open	N	NPP	s=p	24	mod	_	_
26	'	'	PONCT	PONCT	s=w	24	ponct	_	_
27	Up	Up	N	NPP	s=p	24	mod	_	_
28	est	être	V	V	m=ind|n=s|p=3|t=pst	30	aux_pass	_	_
29	donc	donc	ADV	ADV	_|marker=131	30	mod	_	_
30	élue	élire	V	VPP	g=f|m=part|n=s|t=past	9	ato	_	_
31	avec	avec	P	P	_	30	mod	_	_
32	92.9	92.9	D	DET	s=card	33	det	_	_
33	%	%	N	NC	g=m|s=c	31	obj	_	_
34	des	de	P+D	P+D	s=def	33	dep	_	_
35	voix	voix	N	NC	g=f|s=c	34	obj	_	_
36	.	.	PONCT	PONCT	s=s	9	ponct	_	_

8|33) Par_rapport_aux demandes nous avons retiré:- tout argent servant à des convivialités,- tout argent restant sur le compte n' étant pas justifié et étant supérieur à un fond de roulement- nous avons aussi sanctionné( comme promis) tous les clubs n' étant pas à jour dans leurs trésoreries. 
1	Par_rapport_aux	par_rapport_à	P	P	_	5	mod	_	_
2	demandes	demande	N	NC	g=f|n=p|s=c	1	obj	_	_
3	nous	cln	CL	CLS	s=suj	5	suj	_	_
4	avons	avoir	V	V	m=ind|n=p|p=1|t=pst	5	aux_tps	_	_
5	retiré	retirer	V	VPP	g=m|m=part|n=s|t=past	0	root	_	_
6	:	:	PONCT	PONCT	s=w	5	ponct	_	_
7	-	-	PONCT	PONCT	s=w	5	ponct	_	_
8	tout	tout	D	DET	g=m|n=s|s=ind	9	det	_	_
9	argent	argent	N	NC	g=m|n=s|s=c	5	mod	_	_
10	servant	servir	V	VPR	m=part|t=pst	9	mod	_	_
11	à	à	P	P	_	10	mod	_	_
12	des	de	D	DET	_	13	det	_	_
13	convivialités	convivialité	N	NC	g=f|n=p|s=c	11	obj	_	_
14	,	,	PONCT	PONCT	s=w	10	ponct	_	_
15	-	-	PONCT	PONCT	s=w	5	ponct	_	_
16	tout	tout	D	DET	g=m|n=s|s=ind	17	det	_	_
17	argent	argent	N	NC	g=m|n=s|s=c	18	suj	_	_
18	restant	rester	V	VPR	m=part|t=pst	5	mod	_	_
19	sur	sur	P	P	_	18	p_obj	_	_
20	le	le	D	DET	g=m|n=s|s=def	21	det	_	_
21	compte	compte	N	NC	g=m|n=s|s=c	19	obj	_	_
22	n'	ne	ADV	ADV	s=neg	25	mod	_	_
23	étant	être	V	VPR	m=part|t=pst	25	aux_tps	_	_
24	pas	pas	ADV	ADV	s=neg	25	mod	_	_
25	justifié	justifier	V	VPP	g=m|m=part|n=s|t=past	5	aux_pass	_	_
26	et	et	C	CC	s=c	25	coord	_	_
27	étant	être	V	VPR	m=part|t=pst	26	dep_coord	_	_
28	supérieur	supérieur	A	ADJ	g=m|n=s|s=qual	27	ats	_	_
29	à	à	P	P	_	27	mod	_	_
30	un	un	D	DET	g=m|n=s|s=ind	31	det	_	_
31	fond	fond	N	NC	g=m|n=s|s=c	29	obj	_	_
32	de	de	P	P	_	31	dep	_	_
33	roulement	roulement	N	NC	g=m|n=s|s=c	32	obj	_	_
34	-	-	PONCT	PONCT	s=w	5	ponct	_	_
35	nous	cln	CL	CLS	s=suj	38	suj	_	_
36	avons	avoir	V	V	m=ind|n=p|p=1|t=pst	38	aux_tps	_	_
37	aussi	aussi	ADV	ADV	_|marker=208	38	mod	_	_
38	sanctionné	sanctionner	V	VPP	g=m|m=part|n=s|t=past	5	mod	_	_
39	(	(	PONCT	PONCT	s=w	38	ponct	_	_
40	comme	comme	P	P	_	38	mod	_	_
41	promis	promettre	V	VPP	g=m|m=part|t=past	40	obj	_	_
42	)	)	PONCT	PONCT	s=w	38	ponct	_	_
43	tous	tout	A	ADJ	g=m|n=p|s=ind	45	mod	_	_
44	les	le	D	DET	n=p|s=def	45	det	_	_
45	clubs	club	N	NC	g=m|n=p|s=c	47	suj	_	_
46	n'	ne	ADV	ADV	s=neg	47	mod	_	_
47	étant	être	V	VPR	m=part|t=pst	38	mod	_	_
48	pas	pas	ADV	ADV	s=neg	47	mod	_	_
49	à	à	P	P	_	47	mod	_	_
50	jour	jour	N	NC	g=m|n=s|s=c	49	obj	_	_
51	dans	dans	P	P	_	47	mod	_	_
52	leurs	son	D	DET	n=p|s=poss	53	det	_	_
53	trésoreries	trésorerie	N	NC	g=f|n=p|s=c	51	obj	_	_
54	.	.	PONCT	PONCT	s=s	5	ponct	_	_

9|35) Nous avons donc fixé la limite du samedi soir à 200 personnes( comme pour tous les inventaires précédents). 
1	Nous	cln	CL	CLS	s=suj	4	suj	_	_
2	avons	avoir	V	V	m=ind|n=p|p=1|t=pst	4	aux_tps	_	_
3	donc	donc	ADV	ADV	_|marker=131	4	mod	_	_
4	fixé	fixer	V	VPP	g=m|m=part|n=s|t=past	0	root	_	_
5	la	le	D	DET	g=f|n=s|s=def	6	det	_	_
6	limite	limite	N	NC	g=f|n=s|s=c	4	obj	_	_
7	du	de	P+D	P+D	s=def	6	dep	_	_
8	samedi	samedi	N	NC	g=m|n=s|s=c	7	obj	_	_
9	soir	soir	N	NC	g=m|n=s|s=c	8	mod	_	_
10	à	à	P	P	_	4	mod	_	_
11	200	200	D	DET	s=card	12	det	_	_
12	personnes	personne	N	NC	g=f|n=p|s=neg	10	obj	_	_
13	(	(	PONCT	PONCT	s=w	4	ponct	_	_
14	comme	comme	P	P	_	4	mod	_	_
15	pour	pour	P	P	_	14	obj	_	_
16	tous	tout	A	ADJ	g=m|n=p|s=ind	18	mod	_	_
17	les	le	D	DET	n=p|s=def	18	det	_	_
18	inventaires	inventaire	N	NC	g=m|n=p|s=c	15	obj	_	_
19	précédents	précédent	A	ADJ	g=m|n=p|s=qual	18	mod	_	_
20	)	)	PONCT	PONCT	s=w	4	ponct	_	_
21	.	.	PONCT	PONCT	s=s	4	ponct	_	_

10|36) Nous avons donc été obligés de desinscrire 100 personnes( les 100 derniers inscrits). 
1	Nous	cln	CL	CLS	s=suj	5	suj	_	_
2	avons	avoir	V	V	m=ind|n=p|p=1|t=pst	5	aux_tps	_	_
3	donc	donc	ADV	ADV	_|marker=131	5	mod	_	_
4	été	être	V	VPP	m=part|t=past	5	aux_pass	_	_
5	obligés	obliger	V	VPP	g=m|m=part|n=p|t=past	0	root	_	_
6	de	de	P	P	_	5	de_obj	_	_
7	desinscrire	desinscrire	V	VINF	m=inf	6	obj	_	_
8	100	100	D	DET	s=card	9	det	_	_
9	personnes	personne	N	NC	g=f|n=p|s=neg	7	obj	_	_
10	(	(	PONCT	PONCT	s=w	7	ponct	_	_
11	les	le	D	DET	n=p|s=def	13	det	_	_
12	100	100	A	ADJ	s=card	13	mod	_	_
13	derniers	dernier	N	NC	g=m|n=p|s=ord	7	mod	_	_
14	inscrits	inscrire	V	VPP	g=m|m=part|n=p|t=past	13	mod	_	_
15	)	)	PONCT	PONCT	s=w	13	ponct	_	_
16	.	.	PONCT	PONCT	s=s	5	ponct	_	_

11|38) Nous vous donnons donc rendez-vous devant le petit Kawa à 7H histoire d' organiser le covoiturage. 
1	Nous	cln	CL	CLS	s=suj	3	suj	_	_
2	vous	cln	CL	CLS	s=suj	3	suj	_	_
3	donnons	donner	V	V	m=ind|n=p|p=1|t=pst	0	root	_	_
4	donc	donc	ADV	ADV	_|marker=131	3	mod	_	_
5	rendez-vous	rendez-vous	N	NC	g=m|s=c	3	obj	_	_
6	devant	devant	P	P	_	3	mod	_	_
7	le	le	D	DET	g=m|n=s|s=def	9	det	_	_
8	petit	petit	A	ADJ	g=m|n=s|s=qual	9	mod	_	_
9	Kawa	Kawa	N	NPP	s=p	6	obj	_	_
10	à	à	P	P	_	3	mod	_	_
11	7H	7H	D	DET	_	12	det	_	_
12	histoire	histoire	N	NC	g=f|n=s|s=c	10	obj	_	_
13	d'	de	P	P	_	12	dep	_	_
14	organiser	organiser	V	VINF	m=inf	13	obj	_	_
15	le	le	D	DET	g=m|n=s|s=def	16	det	_	_
16	covoiturage	covoiturage	N	NC	s=c	14	obj	_	_
17	.	.	PONCT	PONCT	s=s	3	ponct	_	_

12|41) Dans tous les cas il se peut que vous ne finissiez pas à la même heure que vos collègues donc comme à l' aller il est préférable qu' aucune voiture ne quitte Blagnac sans être pleine. 
1	Dans	dans	P	P	_	7	mod	_	_
2	tous	tout	A	ADJ	g=m|n=p|s=ind	4	mod	_	_
3	les	le	D	DET	n=p|s=def	4	det	_	_
4	cas	cas	N	NC	g=m|s=c	1	obj	_	_
5	il	cln	CL	CLS	s=suj	7	suj	_	_
6	se	se	CL	CLR	p=3|s=refl	7	aff	_	_
7	peut	pouvoir	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
8	que	que	C	CS	s=s	7	obj	_	_
9	vous	cln	CL	CLS	s=suj	11	suj	_	_
